CORR,NMSE,RRSE,epoch,step,test_loss,test_loss_epoch,test_loss_step
,,,,0,,,0.026100967079401016
,,,,1,,,0.02258146181702614
,,,,2,,,0.021940352395176888
,,,,3,,,0.020807165652513504
,,,,4,,,0.02272658795118332
,,,,5,,,0.02464495599269867
,,,,6,,,0.023875055834650993
,,,,7,,,0.02384246699512005
,,,,8,,,0.025206543505191803
,,,,9,,,0.02299831062555313
,,,,10,,,0.023453904315829277
,,,,11,,,0.021432247012853622
,,,,12,,,0.023072896525263786
,,,,13,,,0.023599043488502502
,,,,14,,,0.02134695276618004
,,,,15,,,0.02355939894914627
,,,,16,,,0.02365998737514019
,,,,17,,,0.023811232298612595
,,,,18,,,0.02403968572616577
,,,,19,,,0.021983852609992027
,,,,20,,,0.021466830745339394
,,,,21,,,0.02293115295469761
,,,,22,,,0.023335877805948257
,,,,23,,,0.022514890879392624
,,,,24,,,0.022400453686714172
,,,,25,,,0.020940026268363
,,,,26,,,0.023385491222143173
,,,,27,,,0.024125151336193085
,,,,28,,,0.01865779608488083
,,,,29,,,0.021002549678087234
,,,,30,,,0.021644890308380127
,,,,31,,,0.022393573075532913
,,,,32,,,0.023260660469532013
,,,,33,,,0.02027679979801178
,,,,34,,,0.02304869145154953
,,,,35,,,0.021876368671655655
,,,,36,,,0.022308915853500366
,,,,37,,,0.0223359614610672
,,,,38,,,0.022789496928453445
,,,,39,,,0.02232510596513748
,,,,40,,,0.02295544371008873
,,,,41,,,0.02549680322408676
,,,,42,,,0.02219422534108162
,,,,43,,,0.023467257618904114
,,,,44,,,0.023806214332580566
,,,,45,,,0.020681466907262802
,,,,46,,,0.021400973200798035
,,,,47,,,0.018759874626994133
,,,,48,,,0.022691089659929276
,,,,49,,,0.022276774048805237
,,,,50,,,0.023067891597747803
,,,,51,,,0.021593960002064705
,,,,52,,,0.020828597247600555
,,,,53,,,0.022085556760430336
,,,,54,,,0.023101918399333954
,,,,55,,,0.025456992909312248
,,,,56,,,0.022950749844312668
,,,,57,,,0.016367224976420403
0.1975220888853073,0.9828532934188843,0.9916563034057617,0,0,0.02253253012895584,0.022606486454606056,
